id,business_id,name,img_url,rating,address,city,zip_code,phone,compliant
,14BLy22t6EKuPO5aAQ6R8g,Just Salad,https://s3-media2.fl.yelpcdn.com/bphoto/NHTe_4NV0WJNw-Uwt-C50A/o.jpg,3.5,233 Broadway,New York,10279,12122441111,1
,ejZjFbR_Z3He5pi699eJKg,Birch Coffee,https://s3-media2.fl.yelpcdn.com/bphoto/prVCcWpWBsU657KVbKhr2w/o.jpg,4,8 Spruce St,New York,10038,12126861444,1
,K7c1bkgmmdiTcsQ5afGFNQ,W XYZ Bar,https://s3-media1.fl.yelpcdn.com/bphoto/lgOsvjndmAscI3J3MuD3zw/o.jpg,5,49-53 Ann St,New York,10038,12125130003,1
,t4B9GkAuiYIjFCt9SlK3EQ,Poke Bowl,https://s3-media1.fl.yelpcdn.com/bphoto/K7cT2Dzbp2ZE2GJ2hbNm7g/o.jpg,4,104 Fulton St,New York,10038,16463719773,1
,j7NsPKpOQsIHBbBYrBGZQg,Dunkin',https://s3-media3.fl.yelpcdn.com/bphoto/i77Be-lwW5J8cVItvqj4iQ/o.jpg,4,80 John St,New York,10038,12122320020,1
,rQpO1Eie_zmeAOQ9s-T0sQ,Hole In The Wall,https://s3-media1.fl.yelpcdn.com/bphoto/KQwNs2HFWF0GDEGoSYgAEg/o.jpg,4.5,15 Cliff St,New York,10038,12126029991,1
,AeDVKiqkdtDrbikeEDrq9Q,Feed Your Soul Cafe,https://s3-media2.fl.yelpcdn.com/bphoto/1l-uwTUdO1iagW66qFg3VQ/o.jpg,4,14 Wall St,New York,10005,12012040720,0
,uQ4HZzNarBBNcTKZSIY-vA,Black Fox Coffee,https://s3-media1.fl.yelpcdn.com/bphoto/JDMHFi9GJcDX5egiUxvuUg/o.jpg,4,70 Pine St,New York,10005,19177420133,1
,LjHUOXB3Iw_l7NXW_nClqA,Fairfield Inn by Marriott New York Manhattan/Financial District,https://s3-media4.fl.yelpcdn.com/bphoto/vHfMZrm4nmFyjsJgHkgbLA/o.jpg,4,161 Front St,New York,10038,12128260001,1
,_CBj4pv-I9hbiq35LFoNJg,Bluestone Lane,https://s3-media2.fl.yelpcdn.com/bphoto/noafxdBXJKbFBuhxowZ7gw/o.jpg,4,90 Water St,New York,10005,17183746858,1
