business_id,name,img_url,url,review_count,rating,price,categories,latitude,longitude,category1,category2,category3,address,city,state,zip_code,phone,compliant
14BLy22t6EKuPO5aAQ6R8g,Just Salad,https://s3-media2.fl.yelpcdn.com/bphoto/NHTe_4NV0WJNw-Uwt-C50A/o.jpg,https://www.yelp.com/biz/just-salad-new-york-34?adjust_creative=8JX6jG3ozuS17CJIXZZBLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=8JX6jG3ozuS17CJIXZZBLQ,115,3.5,$,"[{'alias': 'salad', 'title': 'Salad'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}, {'alias': 'grocery', 'title': 'Grocery'}]",40.71270855,-74.00840127,Salad,Vegetarian,Grocery,233 Broadway,New York,NY,10279,12122441111,1
ejZjFbR_Z3He5pi699eJKg,Birch Coffee,https://s3-media2.fl.yelpcdn.com/bphoto/prVCcWpWBsU657KVbKhr2w/o.jpg,https://www.yelp.com/biz/birch-coffee-new-york-10?adjust_creative=8JX6jG3ozuS17CJIXZZBLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=8JX6jG3ozuS17CJIXZZBLQ,71,4,$$,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",40.71084,-74.005672,Coffee & Tea,,,8 Spruce St,New York,NY,10038,12126861444,1
K7c1bkgmmdiTcsQ5afGFNQ,W XYZ Bar,https://s3-media1.fl.yelpcdn.com/bphoto/lgOsvjndmAscI3J3MuD3zw/o.jpg,https://www.yelp.com/biz/w-xyz-bar-new-york-2?adjust_creative=8JX6jG3ozuS17CJIXZZBLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=8JX6jG3ozuS17CJIXZZBLQ,1,5,$$,"[{'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",40.71035,-74.00679,Venues & Event Spaces,Tapas/Small Plates,Cocktail Bars,49-53 Ann St,New York,NY,10038,12125130003,1
t4B9GkAuiYIjFCt9SlK3EQ,Poke Bowl,https://s3-media1.fl.yelpcdn.com/bphoto/K7cT2Dzbp2ZE2GJ2hbNm7g/o.jpg,https://www.yelp.com/biz/poke-bowl-new-york-2?adjust_creative=8JX6jG3ozuS17CJIXZZBLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=8JX6jG3ozuS17CJIXZZBLQ,307,4,$$,"[{'alias': 'poke', 'title': 'Poke'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",40.709569,-74.0068345,Poke,Sushi Bars,,104 Fulton St,New York,NY,10038,16463719773,1
j7NsPKpOQsIHBbBYrBGZQg,Dunkin',https://s3-media3.fl.yelpcdn.com/bphoto/i77Be-lwW5J8cVItvqj4iQ/o.jpg,https://www.yelp.com/biz/dunkin-new-york-78?adjust_creative=8JX6jG3ozuS17CJIXZZBLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=8JX6jG3ozuS17CJIXZZBLQ,11,4,$,"[{'alias': 'donuts', 'title': 'Donuts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",40.70814,-74.00686,Donuts,Coffee & Tea,,80 John St,New York,NY,10038,12122320020,1
rQpO1Eie_zmeAOQ9s-T0sQ,Hole In The Wall - FiDi,https://s3-media1.fl.yelpcdn.com/bphoto/KQwNs2HFWF0GDEGoSYgAEg/o.jpg,https://www.yelp.com/biz/hole-in-the-wall-fidi-new-york?adjust_creative=8JX6jG3ozuS17CJIXZZBLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=8JX6jG3ozuS17CJIXZZBLQ,583,4.5,$$,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]",40.70837,-74.00563,Breakfast & Brunch,Cocktail Bars,Juice Bars & Smoothies,15 Cliff St,New York,NY,10038,12126029991,1
AeDVKiqkdtDrbikeEDrq9Q,Feed Your Soul Cafe,https://s3-media2.fl.yelpcdn.com/bphoto/1l-uwTUdO1iagW66qFg3VQ/o.jpg,https://www.yelp.com/biz/feed-your-soul-cafe-new-york?adjust_creative=8JX6jG3ozuS17CJIXZZBLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=8JX6jG3ozuS17CJIXZZBLQ,11,4,$$,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",40.70745,-74.01104,Bakeries,Coffee & Tea,,14 Wall St,New York,NY,10005,12012040720,0
uQ4HZzNarBBNcTKZSIY-vA,Black Fox Coffee,https://s3-media1.fl.yelpcdn.com/bphoto/JDMHFi9GJcDX5egiUxvuUg/o.jpg,https://www.yelp.com/biz/black-fox-coffee-new-york?adjust_creative=8JX6jG3ozuS17CJIXZZBLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=8JX6jG3ozuS17CJIXZZBLQ,199,4,$$,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",40.7063449,-74.0076944,Cafes,Coffee & Tea,Sandwiches,70 Pine St,New York,NY,10005,19177420133,1
LjHUOXB3Iw_l7NXW_nClqA,Fairfield Inn by Marriott New York Manhattan/Financial District,https://s3-media4.fl.yelpcdn.com/bphoto/vHfMZrm4nmFyjsJgHkgbLA/o.jpg,https://www.yelp.com/biz/fairfield-inn-by-marriott-new-york-manhattan-financial-district-new-york?adjust_creative=8JX6jG3ozuS17CJIXZZBLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=8JX6jG3ozuS17CJIXZZBLQ,70,4,$$,"[{'alias': 'hotels', 'title': 'Hotels'}]",40.705911,-74.004993,Hotels,,,161 Front St,New York,NY,10038,12128260001,1
_CBj4pv-I9hbiq35LFoNJg,Bluestone Lane,https://s3-media2.fl.yelpcdn.com/bphoto/noafxdBXJKbFBuhxowZ7gw/o.jpg,https://www.yelp.com/biz/bluestone-lane-new-york-13?adjust_creative=8JX6jG3ozuS17CJIXZZBLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=8JX6jG3ozuS17CJIXZZBLQ,69,4,$,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}]",40.70475844,-74.00854312,Cafes,Coffee Roasteries,,90 Water St,New York,NY,10005,17183746858,1
